Metadata,DoomedEagle_2025-11-20_03-46-02,Fullchord_2025-11-20_03-46-29,Skunkworks23_2025-11-20_03-46-29,kaine__2025-11-20_03-46-02,BrainRot_2025-11-20_03-47-50,Twiggzy_2025-11-20_03-47-50,snow_Man_2025-11-20_03-51-45,Rikkitt_2025-11-20_03-51-45,romestamo_2025-11-20_03-59-22,radeone_2025-11-20_04-01-56,A_Magikarp_2025-11-20_04-04-17,KAustinn_2025-11-20_04-01-56
Build 67,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (215.7s),Tidal Generator (223.5s),Energy Converter (342.5s),Tidal Generator (305.9s),Tidal Generator (535.3s)
Build 68,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (216.0s),Tidal Generator (223.5s),Energy Converter (342.5s),Tidal Generator (305.9s),Tidal Generator (535.3s)
Build 69,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Energy Converter (425.2s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (216.2s),Tidal Generator (223.5s),Energy Converter (342.5s),Tidal Generator (305.9s),Tidal Generator (535.3s)
Build 70,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Pawn (427.7s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (216.4s),Tidal Generator (223.5s),Energy Converter (342.5s),Tidal Generator (305.9s),Tidal Generator (535.3s)
Build 71,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Pawn (431.5s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (216.6s),Tidal Generator (223.5s),Construction Turret (368.4s),Tidal Generator (308.2s),Wind Turbine (559.7s)
Build 72,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Pawn (431.6s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (216.8s),Tidal Generator (223.5s),Lazarus (379.6s),Tidal Generator (308.2s),Wind Turbine (559.7s)
Build 73,Wind Turbine (290.0s),Wind Turbine (261.4s),Wind Turbine (234.0s),Tick (432.1s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (217.0s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (559.7s)
Build 74,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (234.0s),Beamer (461.3s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (217.2s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (559.7s)
Build 75,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (234.0s),Sentry (541.5s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (218.8s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (569.8s)
Build 76,Wind Turbine (293.2s),Wind Turbine (261.4s),Wind Turbine (234.0s),Sentry (545.9s),Wind Turbine (229.5s),Wind Turbine (244.5s),Energy Converter (245.7s),Mace (219.0s),Tidal Generator (223.5s),Wind Turbine (386.2s),Tidal Generator (308.2s),Wind Turbine (569.8s)
